;;11 Uhr;0;17;2;4;12;42;5;3;1
;;13 Uhr;0;18;1;0;11;35;5;2;1
;;15 Uhr;0;17;0;2;9;38;2;2;1
;;17 Uhr;0;13;0;1;6;24;0;2;1
;;19 Uhr;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;
Mittwoch,;17.08.2016;9 Uhr;0;10;1;5;8;32;4;3;1
;;11 Uhr;0;16;0;4;12;50;5;3;1
;;13 Uhr;0;22;1;3;9;49;3;2;1
;;15 Uhr;0;21;0;8;9;51;3;6;3
;;17 Uhr;0;15;0;1;5;36;2;5;3
;;19 Uhr;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;
Donnerstag,;18.08.2016;9 Uhr;0;17;0;2;8;32;2;2;1
;;11 Uhr;0;23;0;2;10;48;1;4;3
;;13 Uhr;0;21;0;2;7;47;1;3;2
;;15 Uhr;0;15;0;0;4;52;1;4;3
;;17 Uhr;0;12;0;0;4;34;1;2;1
;;19 Uhr;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;
Freitag,;19.08.2016;9 Uhr;0;9;0;1;3;15;0;3;1
;;11 Uhr;0;15;0;1;5;34;2;1;1
;;13 Uhr;0;14;0;1;3;24;4;4;2
