;;11 Uhr;;21;0;3;1
;;13 Uhr;;22;0;3;1
;;15 Uhr;;27;1;3;1
;;17 Uhr;;11;0;0;0
;;19 Uhr;;;;;
;;;;;;;
Dienstag,;7.8.18;9 Uhr;;11;0;2;1
;;11 Uhr;;27;0;2;1
;;13 Uhr;;25;0;4;1
;;15 Uhr;;31;2;4;1
;;17 Uhr;;12;0;0;0
;;19 Uhr;;;;;
;;;;;;;
Mittwoch,;8.8.18;9 Uhr;;8;0;0;0
;;11 Uhr;;17;0;2;1
;;13 Uhr;;19;0;0;0
;;15 Uhr;;19;1;0;0
;;17 Uhr;;13;0;0;0
;;19 Uhr;;;;;
;;;;;;;
Donnerstag,;9.8.18;9 Uhr;;10;0;2;1
;;11 Uhr;;23;0;3;1
;;13 Uhr;;22;0;2;1
;;15 Uhr;;22;0;2;1
;;17 Uhr;;13;0;0;0
;;19 Uhr;;;;;
;;;;;;;
Freitag,;10.8.18;9 Uhr;;6;1;3;1
;;11 Uhr;;13;2;7;3
;;13 Uhr;;10;1;2;1
